id	role	alias	tag
6386	1-string Guitar	1-string guitar	PERFORMER
486	10 Holes Harmonica	10 holes harmonica	PERFORMER
2675	10-string Guitar	10-string guitar	PERFORMER
2709	12 Steel-string Acoustic Guitar	12 steel-string acoustic guitar	PERFORMER
2172	12-string Acoustic Guitar	12-string acoustic guitar	PERFORMER
9211	12-string Acoustic Sitar	12-string acoustic sitar	PERFORMER
6741	12-string Acoustic-Electric Guitar	12-string acoustic-electric guitar	PERFORMER
10501	12-string Bass Guitar	12-string bass guitar	PERFORMER
2171	12-string Electric Guitar	12-string electric guitar	PERFORMER
9161	12-string Folk Guitar	12-string folk guitar	PERFORMER
2806	12-string Fretless Guitar	12-string fretless guitar	PERFORMER
667	12-string Guitar	12-string guitar	PERFORMER
8918	12-string Gut Guitar	12-string gut guitar	PERFORMER
2532	12-string Noise Guitar	12-string noise guitar	PERFORMER
4360	13-string Koto	13-string koto	PERFORMER
3125	17-string Koto	17-string koto	PERFORMER
8685	19th Century Flute	19th century flute	PERFORMER
3918	19th Century Guitar	19th century guitar	PERFORMER
2797	1st Keyframe	1st keyframe	PERFORMER
3544	20-string Koto	20-string koto	PERFORMER
5262	24-string Koto	24-string koto	PERFORMER
7582	25-string Gayageum	25-string gayageum	PERFORMER
6103	25-string Koto	25-string koto	PERFORMER
4679	2D	2d	PERFORMER
9658	2D Animation Director	2d animation director	PERFORMER
6399	2D Animator	2d animator	PERFORMER
6429	2D Artist	2d artist	PERFORMER
1313	2D Creator	2d creator	PERFORMER
1641	2D Designer	2d designer	PERFORMER
1131	2D Graphics	2d graphics	PERFORMER
5622	2D Media Manager	2d media manager	PERFORMER
8814	2D Motion Designer	2d motion designer	PERFORMER
9618	2D Supervisor	2d supervisor	PERFORMER
6097	2D Video Artist	2d video artist	PERFORMER
1432	2D Works	2d works	PERFORMER
7287	2DCG Works	2dcg works	PERFORMER
1636	2nd Keyframe	2nd keyframe	PERFORMER
5664	2nd Still Photographer	2nd still photographer	PERFORMER
1518	360 Immersive Sound Designer	360 immersive sound designer	PERFORMER
10414	360 Reality Audio Mastering Engineer	360 reality audio mastering engineer	PERFORMER
10415	360 Reality Audio Mixing Engineer	360 reality audio mixing engineer	PERFORMER
2152	3D	3d	PERFORMER
10199	3D Animator	3d animator	PERFORMER
3804	3D Artist	3d artist	PERFORMER
2379	3D Audio Effects	3d audio effects	PERFORMER
8997	3D Background Art	3d background art	PERFORMER
10459	3D Background Designer	3d background designer	PERFORMER
3424	3D CGI	3d cgi	PERFORMER
747	3D Designer	3d designer	PERFORMER
4502	3D Director	3d director	PERFORMER
4503	3D Engineer	3d engineer	PERFORMER
5300	3D Graphic Designer	3d graphic designer	PERFORMER
3319	3D Illustrator	3d illustrator	PERFORMER
4704	3D Layout	3d layout	PERFORMER
5288	3D Model Setup	3d model setup	PERFORMER
1825	3D Modeling	3d modeling	PERFORMER
10005	3D Modeling Assistance	3d modeling assistance	PERFORMER
4877	3D Motion Designer	3d motion designer	PERFORMER
2886	3D Musician	3d musician	PERFORMER
3439	3D Printed 6-string Electric Violin	3d printed 6-string electric violin	PERFORMER
9773	3D Producer	3d producer	PERFORMER
7584	3D Production	3d production	PERFORMER
8256	3D Recording Engineer	3d recording engineer	PERFORMER
6723	3D Sound	3d sound	PERFORMER
4852	3D Sound Advisor	3d sound advisor	PERFORMER
2380	3D Sound Design	3d sound design	PERFORMER
6384	3D Sound Effects	3d sound effects	PERFORMER
8261	3D Sound Effects Operator	3d sound effects operator	PERFORMER
9417	3D Sound Production	3d sound production	PERFORMER
